USD,EURO,MLC,Fecha
620,715,485,2026-06-28 08:00
620,720,490,2026-06-28 07:00
622,720,490,2026-06-28 06:00
620,720,490,2026-06-28 05:00
625,720,490,2026-06-28 04:00
625,720,490,2026-06-28 03:00
625,720,490,2026-06-28 02:00
625,720,490,2026-06-28 01:00
625,720,490,2026-06-28 00:00
625,720,490,2026-06-27 23:00
630,720,490,2026-06-27 22:00
630,720,490,2026-06-27 21:00
630,720,490,2026-06-27 20:00
630,720,490,2026-06-27 19:00
630,720,490,2026-06-27 18:00
630,730,490,2026-06-27 17:00
630,720,490,2026-06-27 16:00
630,730,490,2026-06-27 15:00
635,730,490,2026-06-27 14:00
640,740,500,2026-06-27 13:00
640,740,500,2026-06-27 12:00
640,750,495,2026-06-27 11:00
645,750,490,2026-06-27 10:00
650,750,490,2026-06-27 09:00
650,750,490,2026-06-27 08:00
650,750,490,2026-06-27 07:00
650,750,490,2026-06-27 06:00
650,750,490,2026-06-27 05:00
650,750,490,2026-06-27 04:00
650,750,490,2026-06-27 03:00
650,750,490,2026-06-27 02:00
650,750,490,2026-06-27 01:00
650,750,490,2026-06-27 00:00
650,750,490,2026-06-26 23:00
650,750,490,2026-06-26 22:00
650,750,490,2026-06-26 21:00
650,750,490,2026-06-26 20:00
650,750,490,2026-06-26 19:00
650,750,490,2026-06-26 18:00
650,750,490,2026-06-26 17:00
650,750,490,2026-06-26 16:00
660,755,490,2026-06-26 15:00
660,760,490,2026-06-26 14:00
660,760,490,2026-06-26 13:00
660,765,490,2026-06-26 12:00
665,770,490,2026-06-26 11:00
665,770,490,2026-06-26 10:00
670,770,490,2026-06-26 09:00
670,770,490,2026-06-26 08:00
670,770,490,2026-06-26 07:00
670,770,490,2026-06-26 06:00
670,770,490,2026-06-26 05:00
670,770,490,2026-06-26 04:00
670,770,490,2026-06-26 03:00
670,770,490,2026-06-26 02:00
670,770,490,2026-06-26 01:00
670,770,490,2026-06-26 00:00
670,770,490,2026-06-25 23:00
670,770,490,2026-06-25 22:00
670,770,490,2026-06-25 21:00
670,770,490,2026-06-25 20:00
670,770,490,2026-06-25 19:00
675,780,492,2026-06-25 18:00
675,780,492,2026-06-25 17:00
675,780,492,2026-06-25 16:00
680,780,492,2026-06-25 15:00
680,782,500,2026-06-25 14:00
680,782,500,2026-06-25 13:00
680,790,500,2026-06-25 12:00
685,790,500,2026-06-25 11:00
685,790,500,2026-06-25 10:00
685,790,500,2026-06-25 09:00
685,790,500,2026-06-25 08:00
685,790,500,2026-06-25 07:00
685,790,500,2026-06-25 06:00
685,790,500,2026-06-25 05:00
685,790,500,2026-06-25 04:00
685,790,500,2026-06-25 03:00
685,790,500,2026-06-25 02:00
685,790,500,2026-06-25 01:00
685,790,510,2026-06-25 00:00
685,790,510,2026-06-24 23:00
690,790,510,2026-06-24 22:00
690,792,510,2026-06-24 21:00
690,792,510,2026-06-24 20:00
690,792,510,2026-06-24 19:00
690,797,510,2026-06-24 18:00
690,795,510,2026-06-24 17:00
690,795,510,2026-06-24 16:00
690,800,510,2026-06-24 15:00
690,800,510,2026-06-24 14:00
695,800,510,2026-06-24 13:00
695,800,510,2026-06-24 12:00
695,800,500,2026-06-24 11:00
695,800,500,2026-06-24 10:00
695,800,500,2026-06-24 09:00
695,800,500,2026-06-24 08:00
695,800,510,2026-06-24 07:00
695,800,510,2026-06-24 06:00
695,800,510,2026-06-24 05:00
695,800,510,2026-06-24 04:00
695,800,500,2026-06-24 03:00
695,800,500,2026-06-24 02:00
695,800,500,2026-06-24 01:00
695,800,500,2026-06-24 00:00
695,800,500,2026-06-23 23:00
695,800,500,2026-06-23 22:00
695,800,500,2026-06-23 21:00
695,800,500,2026-06-23 20:00
695,800,500,2026-06-23 19:00
695,800,500,2026-06-23 18:00
695,800,500,2026-06-23 17:00
695,800,500,2026-06-23 16:00
695,800,515,2026-06-23 15:00
699,800,515,2026-06-23 14:00
698,800,515,2026-06-23 13:00
700,800,515,2026-06-23 12:00
700,800,515,2026-06-23 11:00
700,800,515,2026-06-23 10:00
695,800,485,2026-06-23 09:00
695,800,485,2026-06-23 08:00
695,800,485,2026-06-23 07:00
695,800,485,2026-06-23 06:00
695,800,485,2026-06-23 05:00
695,800,485,2026-06-23 04:00
695,800,485,2026-06-23 03:00
695,800,485,2026-06-23 02:00
695,800,485,2026-06-23 01:00
695,800,450,2026-06-23 00:00
695,800,450,2026-06-22 23:00
695,800,470,2026-06-22 22:00
695,800,450,2026-06-22 21:00
695,800,460,2026-06-22 20:00
695,800,460,2026-06-22 19:00
695,800,460,2026-06-22 18:00
695,800,460,2026-06-22 17:00
695,800,500,2026-06-22 16:00
695,800,500,2026-06-22 15:00
700,810,500,2026-06-22 14:00
700,810,500,2026-06-22 13:00
695,800,500,2026-06-22 12:00
695,800,500,2026-06-22 11:00
695,800,510,2026-06-22 10:00
695,800,510,2026-06-22 09:00
695,800,510,2026-06-22 08:00
700,800,510,2026-06-22 07:00
695,800,510,2026-06-22 06:00
695,800,510,2026-06-22 05:00
695,800,510,2026-06-22 04:00
695,800,510,2026-06-22 03:00
695,800,510,2026-06-22 02:00
695,800,510,2026-06-22 01:00
